match_id,date,home_team,away_team,home_score,away_score,tournament,neutral,home_conf,away_conf,result
2161,2002-03-27,England,Italy,1.0,2.0,Friendly,False,UEFA,UEFA,A
2162,2002-03-27,Austria,Slovakia,2.0,0.0,Friendly,False,UEFA,UEFA,H
2163,2002-03-27,Argentina,Cameroon,2.0,2.0,Friendly,True,CONMEBOL,CAF,D
2164,2002-03-27,Republic of Ireland,Denmark,3.0,0.0,Friendly,False,UEFA,UEFA,H
2165,2002-04-17,North Macedonia,Finland,1.0,0.0,Friendly,False,UEFA,UEFA,H
2166,2002-04-17,Italy,Uruguay,1.0,1.0,Friendly,False,UEFA,CONMEBOL,D
2167,2002-04-17,Turkey,Chile,2.0,0.0,Friendly,True,UEFA,CONMEBOL,H
2168,2002-04-17,Slovenia,Tunisia,1.0,0.0,Friendly,False,UEFA,CAF,H
2169,2002-04-17,Portugal,Brazil,1.0,1.0,Friendly,False,UEFA,CONMEBOL,D
2170,2002-04-17,Poland,Romania,1.0,2.0,Friendly,False,UEFA,UEFA,A
2171,2002-04-17,Norway,Sweden,0.0,0.0,Friendly,False,UEFA,UEFA,D
2172,2002-04-17,Mexico,Bulgaria,1.0,0.0,Friendly,True,CONCACAF,UEFA,H
2173,2002-04-17,Scotland,Nigeria,1.0,2.0,Friendly,False,UEFA,CAF,A
2174,2002-04-17,Germany,Argentina,0.0,1.0,Friendly,False,UEFA,CONMEBOL,A
2175,2002-04-17,Republic of Ireland,United States,2.0,1.0,Friendly,False,UEFA,CONCACAF,H
2176,2002-04-17,Japan,Costa Rica,1.0,1.0,Friendly,False,AFC,CONCACAF,D
2177,2002-04-17,Greece,Czech Republic,0.0,0.0,Friendly,False,UEFA,UEFA,D
2178,2002-04-17,Belgium,Slovakia,1.0,1.0,Friendly,False,UEFA,UEFA,D
2179,2002-04-17,Croatia,Bosnia and Herzegovina,2.0,0.0,Friendly,False,UEFA,UEFA,H
2180,2002-04-17,Austria,Cameroon,0.0,0.0,Friendly,False,UEFA,CAF,D
2181,2002-04-17,Ecuador,South Africa,0.0,0.0,Friendly,True,CONMEBOL,CAF,D
2182,2002-04-17,France,Russia,0.0,0.0,Friendly,False,UEFA,UEFA,D
2183,2002-04-17,England,Paraguay,4.0,0.0,Friendly,False,UEFA,CONMEBOL,H
2184,2002-04-21,South Korea,Costa Rica,2.0,0.0,Friendly,False,AFC,CONCACAF,H
2185,2002-04-29,Japan,Slovakia,1.0,0.0,Kirin Cup,False,AFC,UEFA,H
2186,2002-05-02,Japan,Honduras,3.0,3.0,Kirin Cup,False,AFC,CONCACAF,D
2187,2002-05-07,Venezuela,Colombia,0.0,0.0,Friendly,False,CONMEBOL,CONMEBOL,D
2188,2002-05-08,Ecuador,Serbia,1.0,0.0,Friendly,True,CONMEBOL,UEFA,H
2189,2002-05-08,Hungary,Croatia,0.0,2.0,Friendly,False,UEFA,UEFA,A
2190,2002-05-09,Costa Rica,Colombia,1.0,2.0,Friendly,False,CONCACAF,CONMEBOL,A
2191,2002-05-12,United States,Uruguay,2.0,1.0,Friendly,False,CONCACAF,CONMEBOL,H
2192,2002-05-12,Mexico,Colombia,2.0,1.0,Friendly,False,CONCACAF,CONMEBOL,H
2193,2002-05-14,Saudi Arabia,Senegal,3.0,2.0,Friendly,False,AFC,CAF,H
2194,2002-05-14,Norway,Japan,3.0,0.0,Friendly,False,UEFA,AFC,H
2195,2002-05-14,Wales,Germany,1.0,0.0,Friendly,False,UEFA,UEFA,H
2196,2002-05-14,Slovakia,Uzbekistan,4.0,1.0,Friendly,False,UEFA,AFC,H
2197,2002-05-14,Belgium,Algeria,0.0,0.0,Friendly,False,UEFA,CAF,D
2198,2002-05-15,Switzerland,Canada,1.0,3.0,Friendly,False,UEFA,CONCACAF,A
2199,2002-05-16,United States,Jamaica,5.0,0.0,Friendly,False,CONCACAF,CONCACAF,H
2200,2002-05-16,Mexico,Bolivia,1.0,0.0,Friendly,True,CONCACAF,CONMEBOL,H
2201,2002-05-16,Republic of Ireland,Nigeria,1.0,2.0,Friendly,False,UEFA,CAF,A
2202,2002-05-16,South Korea,Scotland,4.0,1.0,Friendly,False,AFC,UEFA,H
2203,2002-05-17,Ukraine,Serbia,2.0,0.0,Friendly,True,UEFA,UEFA,H
2204,2002-05-17,Sweden,Paraguay,1.0,2.0,Friendly,False,UEFA,CONMEBOL,A
2205,2002-05-17,Denmark,Cameroon,2.0,1.0,Friendly,False,UEFA,CAF,H
2206,2002-05-17,Slovenia,Ghana,2.0,0.0,Friendly,False,UEFA,CAF,H
2207,2002-05-18,Jamaica,Nigeria,0.0,1.0,Unity Cup,True,CONCACAF,CAF,A
2208,2002-05-18,Czech Republic,Italy,1.0,0.0,Friendly,False,UEFA,UEFA,H
2209,2002-05-18,France,Belgium,1.0,2.0,Friendly,False,UEFA,UEFA,A
2210,2002-05-18,Germany,Austria,6.0,2.0,Friendly,False,UEFA,UEFA,H
2211,2002-05-19,United States,Netherlands,0.0,2.0,Friendly,False,CONCACAF,UEFA,A
2212,2002-05-19,Russia,Serbia,1.0,1.0,Friendly,False,UEFA,UEFA,D
2213,2002-05-20,Scotland,South Africa,0.0,2.0,Friendly,True,UEFA,CAF,A
2214,2002-05-21,South Korea,England,1.0,1.0,Friendly,False,AFC,UEFA,D
2215,2002-05-22,Norway,Iceland,1.0,1.0,Friendly,False,UEFA,UEFA,D
2216,2002-05-23,Ecuador,Senegal,0.0,1.0,Friendly,True,CONMEBOL,CAF,A
2217,2002-05-23,South Africa,Turkey,2.0,0.0,Friendly,True,CAF,UEFA,H
2218,2002-05-25,Japan,Sweden,1.0,1.0,Friendly,False,AFC,UEFA,D
2219,2002-05-26,Cameroon,England,2.0,2.0,Friendly,True,CAF,UEFA,D
2220,2002-05-26,Belgium,Costa Rica,1.0,0.0,Friendly,True,UEFA,CONCACAF,H
2221,2002-05-26,South Korea,France,2.0,3.0,Friendly,False,AFC,UEFA,A
2222,2002-05-26,Denmark,Tunisia,2.0,1.0,Friendly,True,UEFA,CAF,H
2223,2002-05-31,France,Senegal,0.0,1.0,FIFA World Cup,True,UEFA,CAF,A
2224,2002-06-01,Uruguay,Denmark,1.0,2.0,FIFA World Cup,True,CONMEBOL,UEFA,A
2225,2002-06-01,Germany,Saudi Arabia,8.0,0.0,FIFA World Cup,True,UEFA,AFC,H
2226,2002-06-01,Republic of Ireland,Cameroon,1.0,1.0,FIFA World Cup,True,UEFA,CAF,D
2227,2002-06-02,Spain,Slovenia,3.0,1.0,FIFA World Cup,True,UEFA,UEFA,H
2228,2002-06-02,Argentina,Nigeria,1.0,0.0,FIFA World Cup,True,CONMEBOL,CAF,H
2229,2002-06-02,England,Sweden,1.0,1.0,FIFA World Cup,True,UEFA,UEFA,D
2230,2002-06-02,Paraguay,South Africa,2.0,2.0,FIFA World Cup,True,CONMEBOL,CAF,D
2231,2002-06-03,Italy,Ecuador,2.0,0.0,FIFA World Cup,True,UEFA,CONMEBOL,H
2232,2002-06-03,Croatia,Mexico,0.0,1.0,FIFA World Cup,True,UEFA,CONCACAF,A
2233,2002-06-03,Brazil,Turkey,2.0,1.0,FIFA World Cup,True,CONMEBOL,UEFA,H
2234,2002-06-04,Japan,Belgium,2.0,2.0,FIFA World Cup,False,AFC,UEFA,D
2235,2002-06-04,South Korea,Poland,2.0,0.0,FIFA World Cup,False,AFC,UEFA,H
2236,2002-06-05,Germany,Republic of Ireland,1.0,1.0,FIFA World Cup,True,UEFA,UEFA,D
2237,2002-06-05,Russia,Tunisia,2.0,0.0,FIFA World Cup,True,UEFA,CAF,H
2238,2002-06-05,United States,Portugal,3.0,2.0,FIFA World Cup,True,CONCACAF,UEFA,H
2239,2002-06-06,Denmark,Senegal,1.0,1.0,FIFA World Cup,True,UEFA,CAF,D
2240,2002-06-06,France,Uruguay,0.0,0.0,FIFA World Cup,True,UEFA,CONMEBOL,D
2241,2002-06-06,Cameroon,Saudi Arabia,1.0,0.0,FIFA World Cup,True,CAF,AFC,H
